Tech	ELECTRICITY	GASOLINE	DIESEL	LFO	NG	SLF	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	KEROSENE	HEAT_HIGH_T	HEAT_LOW_T_DHN	HEAT_LOW_T_DECEN	SPACE_COOLING	PROCESS_COOLING	MOB_PUBLIC	MOB_PRIVATE	MOB_FREIGHT_RAIL	MOB_FREIGHT_BOAT	MOB_FREIGHT_ROAD	NON_ENERGY	
 ELECTRICITY 	 283,184765	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 GASOLINE 	 0,000000	 71194,512482	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 DIESEL 	 0,000000	 0,000000	 226574,161294	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 BIOETHANOL 	 0,000000	 2232,960000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 BIODIESEL 	 0,000000	 0,000000	 9164,440000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 LFO 	 0,000000	 0,000000	 0,000000	 67458,497303	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 NG 	 0,000000	 0,000000	 0,000000	 0,000000	 265880,668344	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 SLF 	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 SNG 	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
 WOOD 	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 61122,678956	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	 0,000000	
